Age,Male,Female
50,3%,4%
51,3%,4%
52,3%,4%
53,3%,4%
54,3%,4%
55,3%,4%
56,3%,4%
57,3%,4%
58,3%,4%
59,3%,4%
60,3%,4%
61,3%,4%
62,3%,4%
63,3%,4%
64,3%,4%
65,3%,4%
66,3%,4%
67,3%,4%
68,3%,4%
69,3%,4%
70,3%,4%
71,3%,4%
72,3%,4%
73,3%,4%
74,3%,4%
75,3%,4%
76,3%,4%
77,3%,4%
78,3%,4%
79,3%,4%
80,3%,4%
81,3%,4%
82,3%,4%
83,3%,4%
84,3%,4%
85,3%,4%
86,3%,4%
87,3%,4%
88,3%,4%
89,3%,4%
90,3%,4%
91,3%,4%
92,3%,4%
93,3%,4%
94,3%,4%
95,3%,4%
96,3%,4%
97,3%,4%
98,3%,4%
99,3%,4%
100,3%,4%
101,3%,4%
102,3%,4%
103,3%,4%
104,3%,4%
105,3%,4%
106,3%,4%
107,3%,4%
108,3%,4%
109,3%,4%
110,3%,4%
111,3%,4%
112,3%,4%
113,3%,4%
114,3%,4%
115,3%,4%
116,3%,4%
117,3%,4%
118,3%,4%
119,3%,4%
120,3%,4%
